LSOACD,latitude,longitude,lsoa11cd
95DD14S2,54.85349923082212,-6.326375011152408,95DD14S2
95DD15W1,54.9798971043493,-6.227621792959458,95DD15W1
95DD16W1,54.83480774856071,-6.1096039197452985,95DD16W1
95DD17W1,54.81297799246179,-6.392272348308127,95DD17W1
95DD18W1,54.84575151307732,-6.281301825163902,95DD18W1
95DD19S1,54.80337892009414,-6.211397395997587,95DD19S1
95DD19S2,54.810440554231626,-6.270534882509087,95DD19S2
95DD20W1,54.85814113104841,-6.267410866762288,95DD20W1
95DD21W1,54.874030395497655,-6.283290761016587,95DD21W1
95DD22S1,54.86074079440431,-6.434348179401338,95DD22S1
95DD22S2,54.89653645957653,-6.468949373517328,95DD22S2
95DD23W1,54.91571712166853,-6.128031038012271,95DD23W1
95DD24W1,54.87384747978988,-6.260478373606079,95DD24W1
95EE01W1,55.061647303784255,-6.266532173831797,95EE01W1
95EE02W1,55.126985645682666,-6.506959663925791,95EE02W1
95EE03W1,55.07223534672533,-6.497892841090812,95EE03W1
95EE04W1,54.993446178270496,-6.371127981818285,95EE04W1
95EE05W1,55.08898331143445,-6.472119562397566,95EE05W1
95EE06W1,55.01543214737439,-6.433532771058532,95EE06W1
95EE07W1,55.06172178693262,-6.501686891938763,95EE07W1
95EE08W1,55.07654139245585,-6.519345159848358,95EE08W1
95EE09W1,55.00140494371392,-6.488403147645865,95EE09W1
95EE10W1,54.94024167181792,-6.467219646327287,95EE10W1
95EE11W1,55.0478691512896,-6.384105349989899,95EE11W1
95EE12W1,55.07643248975249,-6.509386884205317,95EE12W1
95EE13W1,55.07151787838448,-6.531495661045799,95EE13W1
95EE14W1,55.07451151881099,-6.561696025807098,95EE14W1
95EE15W1,55.10301389369016,-6.378767020646208,95EE15W1
95EE16W1,55.002355686659406,-6.543074017455352,95EE16W1
95FF01S1,54.34898755501736,-6.256053554420324,95FF01S1
95FF01S2,54.33955633137924,-6.255934072759267,95FF01S2
95FF02W1,54.3073059242611,-6.011502111152457,95FF02W1
95FF03W1,54.34475887521105,-6.288922303453582,95FF03W1
95FF04W1,54.31188334703569,-6.2169896692849225,95FF04W1
95FF05W1,54.42067981890872,-6.128763326602785,95FF05W1
95FF06S1,54.40977737365295,-6.156437033987353,95FF06S1
95FF06S2,54.402914529178126,-6.12641271584513,95FF06S2
95FF07W1,54.35184500989222,-6.287552027279959,95FF07W1
95FF08W1,54.34054113886841,-6.280549715078801,95FF08W1
95FF09W1,54.37474025540784,-6.366499583201641,95FF09W1
95FF10W1,54.3662786358158,-6.082140765316406,95FF10W1
95FF11W1,54.29073890584964,-6.13052481658578,95FF11W1
95FF12W1,54.36908963147022,-6.309261123614618,95FF12W1
95FF13W1,54.30342697586529,-6.322334727350513,95FF13W1
